Date,Telegram_User_ID,AppID,Name,User_Rating
2024-06-27 15:17:03,,1061270,Blacklist Brigade,
2024-06-27 15:17:15,,335490,Eisenbahn X - US Diesel Lokomotiven - Set 1,
2024-06-27 15:17:18,,1890290,Ash & Rust Playtest,
2024-06-27 15:23:08,,992480,Sudoku3D,
2024-06-27 15:23:17,,459160,Allods Online,
2024-06-27 15:23:26,,2406780,Banana Shooter Dedicated Server,
2024-06-27 15:23:29,,2596540,The Blogger Pumpkins and Witches Demo,
2024-06-27 15:23:33,,637713,Rocksmith® 2014 Edition – Remastered – The Gaslight Anthem - “45”,
2024-06-27 15:41:14,498677834,1440761,TIGER GAME ASSETS NES GAME STYLES VOL 02,1
2024-06-27 15:45:05,498677834,2350990,车辆对战僵尸 Vehicle Beat Zombie,
2024-06-27 15:45:17,498677834,2149970,FLASHOUT 3 Soundtrack,
2024-06-27 15:45:20,7292969208,636890,Fantasy Grounds - Pathfinder RPG - Curse of the Crimson Throne,
2024-06-27 15:45:32,498677834,564592,Bleach: Bleach 23,
2024-06-27 15:51:22,498677834,565050,Ashes of the Singularity - Reinforcements DLC,
2024-06-27 15:51:27,7292969208,535470,The Miners Demo,
2024-06-27 15:57:08,MossyHead,249120,Pinball FX2 - Ms. Splosion Man Table,
2024-06-27 16:09:03,MossyHead,2353990,Dawn of Mages Demo,
2024-06-27 16:09:11,MossyHead,1089231,Rocksmith® 2014 Edition – Remastered – The Notetrackers - Bass - Easy Pull-off Exercise 2,
2024-06-27 16:18:14,7292969208,Clones Demo,Clones Demo,3
2024-06-27 16:18:24,7292969208,DOA6 Happy Wedding Costume Vol.2 - Ayane,DOA6 Happy Wedding Costume Vol.2 - Ayane,4
2024-06-27 16:19:26,Game_Explorer_Bot,Protonwar,Protonwar,2
2024-06-27 16:19:38,Game_Explorer_Bot,INSANITY,INSANITY,2
2024-06-27 16:20:58,Game_Explorer_Bot,Fantasy Grounds - Pathfinder RPG - Return of the Runelords AP 5: The City Outside of Time (PFRPG),Fantasy Grounds - Pathfinder RPG - Return of the Runelords AP 5: The City Outside of Time (PFRPG),2
2024-06-27 16:21:16,Game_Explorer_Bot,Baker Business 3 - Halloween Pack,Baker Business 3 - Halloween Pack,2
2024-06-27 16:22:02,7292969208,Kane & Lynch 2 - DLC Trailer (ES),Kane & Lynch 2 - DLC Trailer (ES),4
2024-06-27 16:23:06,MossyHead,Ultimate Tower Defense,Ultimate Tower Defense,2
2024-06-27 16:36:57,MossyHead,Comrades and Barons: Solitaire of Bloody 1919,Comrades and Barons: Solitaire of Bloody 1919,2
2024-06-27 16:38:39,MossyHead,Ссылка на Steam,Soul Return,1
2024-06-27 16:40:26,498677834,609360,Gravity Garden,
2024-06-27 16:40:30,MossyHead,Ссылка на Steam,Gravity Garden,1
2024-06-27 16:44:25,MossyHead,498677834,Under The Hood Demo,2
2024-06-27 16:48:17,MossyHead,Mystiqa Demo,Mystiqa Demo,1
2024-06-27 16:56:14,MossyHead,<coroutine object send_random_game at 0x104779230>,Masters of Puzzle - Clockwork Factory,1
2024-06-27 17:00:20,MossyHead,498677834,DOA6 Eliot Deluxe Costume,4
2024-06-27 17:01:48,498677834,842070,FantasyDynasty: Le château DERETIC,
2024-06-27 17:01:52,MossyHead,498677834,FantasyDynasty: Le château DERETIC,3
2024-06-27 17:07:05,MossyHead,Epic Arena,Epic Arena,2
2024-06-27 17:18:23,MossyHead,"DlodloVRPlayer Demo

Ссылка на SteamAppID:744160",DlodloVRPlayer Demo,1
2024-06-27 17:21:10,MossyHead,1773500,Beholder 3 Playtest,1
2024-06-27 17:23:30,MossyHead,81545,MacGuffins Curse Trailer,3
2024-06-27 18:11:24,MossyHead,1633480,LET IT DIE -(Special)10 Death Metals- 032,1
2024-06-27 18:17:53,MossyHead,925871,"SENRAN KAGURA Burst Re:Newal - Playable Character Kagura, Naraku & Ryoki Set",2
2024-06-27 18:18:14,MossyHead,2691790,Bubble Chicken Farm,2
2024-06-27 18:20:04,Nyrgun18rus,2681640,Light Up The Sky,3
2024-06-27 18:20:55,Nyrgun18rus,33230,Assassin's Creed 2,5
2024-06-27 18:23:03,Nyrgun18rus,715840,PooSky,5
2024-06-27 18:24:15,Nyrgun18rus,2686770,Japan Train Models - JR West Edition,5
2024-06-27 18:53:29,MossyHead,951650,American Truck Simulator - Classic Stripes Paint Jobs Pack,4
2024-06-27 20:01:55,MossyHead,540860,Тебе стоит запустить Dragon Kingdom War по ссылке,1
2024-06-27 20:03:39,MossyHead,2128070,Particles of Reality,2
2024-06-28 11:08:06,MossyHead,2491860,Lepidoptera,2
2024-06-30 03:34:28,MossyHead,2202900,Out of the ground,1
2024-06-30 14:53:18,MossyHead,216130,Gemini Wars,1
2024-06-30 15:03:17,MossyHead,1891780,Liftoff® - DJI FPV,4
